date_gregorian,date_hijri,entity_id,entity_name_ar,category,source,mentions,sentiment
2024-01-01,1445-06-19,dates_tamr,تمر,food,x,68,0.539
2024-01-01,1445-06-19,dates_tamr,تمر,food,tiktok,68,0.62
2024-01-01,1445-06-19,dates_tamr,تمر,food,instagram,50,0.537
2024-01-01,1445-06-19,dates_tamr,تمر,food,snapchat,41,0.4
2024-01-01,1445-06-19,qamar_al_deen,قمر الدين,food,x,18,0.573
2024-01-01,1445-06-19,qamar_al_deen,قمر الدين,food,tiktok,18,0.666
2024-01-01,1445-06-19,qamar_al_deen,قمر الدين,food,instagram,13,0.616
2024-01-01,1445-06-19,qamar_al_deen,قمر الدين,food,snapchat,11,0.561
2024-01-01,1445-06-19,eid_abaya,عبايات العيد,fashion,x,37,0.575
2024-01-01,1445-06-19,eid_abaya,عبايات العيد,fashion,tiktok,37,0.681
2024-01-01,1445-06-19,eid_abaya,عبايات العيد,fashion,instagram,27,0.554
2024-01-01,1445-06-19,eid_abaya,عبايات العيد,fashion,snapchat,22,0.539
2024-01-01,1445-06-19,ihram,إحرام,fashion,x,15,0.519
2024-01-01,1445-06-19,ihram,إحرام,fashion,tiktok,15,0.599
2024-01-01,1445-06-19,ihram,إحرام,fashion,instagram,11,0.637
2024-01-01,1445-06-19,ihram,إحرام,fashion,snapchat,9,0.526
2024-01-01,1445-06-19,ksa_flag_merch,علم السعودية,merch,x,17,0.607
2024-01-01,1445-06-19,ksa_flag_merch,علم السعودية,merch,tiktok,17,0.399
2024-01-01,1445-06-19,ksa_flag_merch,علم السعودية,merch,instagram,12,0.288
2024-01-01,1445-06-19,ksa_flag_merch,علم السعودية,merch,snapchat,10,0.489
2024-01-01,1445-06-19,founding_day_thobe,ثوب التأسيس,fashion,x,7,0.616
2024-01-01,1445-06-19,founding_day_thobe,ثوب التأسيس,fashion,tiktok,7,0.428
2024-01-01,1445-06-19,founding_day_thobe,ثوب التأسيس,fashion,instagram,5,0.635
2024-01-01,1445-06-19,founding_day_thobe,ثوب التأسيس,fashion,snapchat,4,0.45
2024-01-01,1445-06-19,riyadh_season_tickets,موسم الرياض,entertainment,x,58,0.561
2024-01-01,1445-06-19,riyadh_season_tickets,موسم الرياض,entertainment,tiktok,58,0.632
2024-01-01,1445-06-19,riyadh_season_tickets,موسم الرياض,entertainment,instagram,42,0.614
2024-01-01,1445-06-19,riyadh_season_tickets,موسم الرياض,entertainment,snapchat,35,0.585
2024-01-01,1445-06-19,padel,بادل,sports,x,23,0.487
2024-01-01,1445-06-19,padel,بادل,sports,tiktok,23,0.478
2024-01-01,1445-06-19,padel,بادل,sports,instagram,17,0.503
2024-01-01,1445-06-19,padel,بادل,sports,snapchat,14,0.6
2024-01-01,1445-06-19,ev_cars,سيارات كهربائية,automotive,x,24,0.627
2024-01-01,1445-06-19,ev_cars,سيارات كهربائية,automotive,tiktok,24,0.692
2024-01-01,1445-06-19,ev_cars,سيارات كهربائية,automotive,instagram,18,0.601
2024-01-01,1445-06-19,ev_cars,سيارات كهربائية,automotive,snapchat,14,0.634
2024-01-01,1445-06-19,healthy_meal_delivery,وجبات صحية,food,x,50,0.645
2024-01-01,1445-06-19,healthy_meal_delivery,وجبات صحية,food,tiktok,50,0.406
2024-01-01,1445-06-19,healthy_meal_delivery,وجبات صحية,food,instagram,37,0.553
2024-01-01,1445-06-19,healthy_meal_delivery,وجبات صحية,food,snapchat,30,0.575
2024-01-01,1445-06-19,matcha,ماتشا,food,x,7,0.608
2024-01-01,1445-06-19,matcha,ماتشا,food,tiktok,7,0.782
2024-01-01,1445-06-19,matcha,ماتشا,food,instagram,5,0.612
2024-01-01,1445-06-19,matcha,ماتشا,food,snapchat,4,0.489
2024-01-01,1445-06-19,home_workout,تمارين بيتية,fitness,x,26,0.645
2024-01-01,1445-06-19,home_workout,تمارين بيتية,fitness,tiktok,26,0.493
2024-01-01,1445-06-19,home_workout,تمارين بيتية,fitness,instagram,19,0.543
2024-01-01,1445-06-19,home_workout,تمارين بيتية,fitness,snapchat,16,0.625
2024-01-01,1445-06-19,shisha_cafe,كافيهات شيشة,food,x,67,0.366
2024-01-01,1445-06-19,shisha_cafe,كافيهات شيشة,food,tiktok,67,0.442
2024-01-01,1445-06-19,shisha_cafe,كافيهات شيشة,food,instagram,49,0.493
2024-01-01,1445-06-19,shisha_cafe,كافيهات شيشة,food,snapchat,40,0.592
2024-01-01,1445-06-19,cafe_nakhla,كافيه نخلة,food,x,4,0.577
2024-01-01,1445-06-19,cafe_nakhla,كافيه نخلة,food,tiktok,4,0.449
2024-01-01,1445-06-19,cafe_nakhla,كافيه نخلة,food,instagram,3,0.64
2024-01-01,1445-06-19,cafe_nakhla,كافيه نخلة,food,snapchat,2,0.588
2024-01-01,1445-06-19,selah_dance,رقصة سيلة,entertainment,x,4,0.535
2024-01-01,1445-06-19,selah_dance,رقصة سيلة,entertainment,tiktok,4,0.692
2024-01-01,1445-06-19,selah_dance,رقصة سيلة,entertainment,instagram,3,0.632
2024-01-01,1445-06-19,selah_dance,رقصة سيلة,entertainment,snapchat,3,0.619
2024-01-01,1445-06-19,milk,حليب,food,x,121,0.606
2024-01-01,1445-06-19,milk,حليب,food,tiktok,121,0.495
2024-01-01,1445-06-19,milk,حليب,food,instagram,89,0.487
2024-01-01,1445-06-19,milk,حليب,food,snapchat,73,0.55
2024-01-01,1445-06-19,rice,أرز,food,x,147,0.505
2024-01-01,1445-06-19,rice,أرز,food,tiktok,147,0.514
2024-01-01,1445-06-19,rice,أرز,food,instagram,108,0.56
2024-01-01,1445-06-19,rice,أرز,food,snapchat,88,0.426
2024-01-01,1445-06-19,spam_product_x,منتج وهمي,noise,x,15,0.639
2024-01-01,1445-06-19,spam_product_x,منتج وهمي,noise,tiktok,15,0.55
2024-01-01,1445-06-19,spam_product_x,منتج وهمي,noise,instagram,11,0.778
2024-01-01,1445-06-19,spam_product_x,منتج وهمي,noise,snapchat,9,0.578
2024-01-02,1445-06-20,dates_tamr,تمر,food,x,63,0.725
2024-01-02,1445-06-20,dates_tamr,تمر,food,tiktok,63,0.382
2024-01-02,1445-06-20,dates_tamr,تمر,food,instagram,46,0.649
2024-01-02,1445-06-20,dates_tamr,تمر,food,snapchat,38,0.609
2024-01-02,1445-06-20,qamar_al_deen,قمر الدين,food,x,20,0.425
2024-01-02,1445-06-20,qamar_al_deen,قمر الدين,food,tiktok,20,0.57
2024-01-02,1445-06-20,qamar_al_deen,قمر الدين,food,instagram,15,0.531
2024-01-02,1445-06-20,qamar_al_deen,قمر الدين,food,snapchat,12,0.752
2024-01-02,1445-06-20,eid_abaya,عبايات العيد,fashion,x,32,0.393
2024-01-02,1445-06-20,eid_abaya,عبايات العيد,fashion,tiktok,32,0.51
2024-01-02,1445-06-20,eid_abaya,عبايات العيد,fashion,instagram,23,0.576
2024-01-02,1445-06-20,eid_abaya,عبايات العيد,fashion,snapchat,19,0.632
2024-01-02,1445-06-20,ihram,إحرام,fashion,x,10,0.602
2024-01-02,1445-06-20,ihram,إحرام,fashion,tiktok,10,0.599
2024-01-02,1445-06-20,ihram,إحرام,fashion,instagram,7,0.48
2024-01-02,1445-06-20,ihram,إحرام,fashion,snapchat,6,0.663
2024-01-02,1445-06-20,ksa_flag_merch,علم السعودية,merch,x,12,0.677
2024-01-02,1445-06-20,ksa_flag_merch,علم السعودية,merch,tiktok,12,0.611
2024-01-02,1445-06-20,ksa_flag_merch,علم السعودية,merch,instagram,9,0.579
2024-01-02,1445-06-20,ksa_flag_merch,علم السعودية,merch,snapchat,7,0.765
2024-01-02,1445-06-20,founding_day_thobe,ثوب التأسيس,fashion,x,6,0.562
2024-01-02,1445-06-20,founding_day_thobe,ثوب التأسيس,fashion,tiktok,6,0.602
